product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Eskort Mini Cheese Viennas 350g,66599.13,2207.0,771.4,1016,84979273.40000002,86.46422400760375,224,B
Eskort Buckwurst 375g,65181.56,1776.0,668.73,825,85044454.96000002,86.53054456765933,225,B
RTE: Chips P/Kg,64813.37,3593.0,1026.47,1035,85109268.33000003,86.59649050386416,226,B
Supreme Crumbed Strips 1kg,64015.0,775.0,775.0,365,85173283.33000003,86.66162411913753,227,B
Smoked Eisbein p/kg,63982.659999999996,921.0,1084.83,478,85237265.99000002,86.72672482929306,228,B
Country Jelapeno Wors P/Kg,63522.98,1266.0,858.25,481,85300788.97000003,86.79135782687706,229,B
Sliced Chopped Ham Roll 180g,63015.01,3839.0,691.02,1531,85363803.98000003,86.85547397805706,230,B
Russian Sausages 4 x 2kg,63006.68,111.0,888.0,31,85426810.66000004,86.91958165367643,231,B
Pickled Beef Tongue (F) P/Kg,62969.22,923.0,962.05,466,85489779.88000004,86.9836512147097,232,B
Chilli Bacon & Cheese p/kg,62827.87,999.0,562.98,677,85552607.75000004,87.04757695575516,233,B
MCC Shoestring 7mm 2.5Kg,61554.87,513.0,1282.5,245,85614162.62000005,87.11020745205732,234,B
Chicken Viennas 1Kg Combo,61282.93,470.0,0.0,114,85675445.55000006,87.17256125640702,235,B
RTE: Burger R10,60657.61,6997.0,0.0,684,85736103.16000006,87.23427881374738,236,B
Sandrivier Voortrekker Boerewors p/kg,60629.17,956.0,646.78,591,85796732.33000006,87.29596743411955,237,B
Pig Tails 1.5kg,60553.83,915.0,1367.1,592,85857286.16000006,87.35757939798034,238,B
Eskort Marinated Chicken Braai Burger 800g,60400.48,1016.0,812.8000000000001,548,85917686.64000006,87.41903533216214,239,B
Meal Deal Combo 3 EXACT COMBO,58979.07,399.0,0.0,85,85976665.71000005,87.47904501824448,240,B
Footlong Cheese Russian Roll (braai),58733.53,1872.0,767.0,728,86035399.24000005,87.53880487369504,241,B
Eskort Honey Mustard Sauce 500ml,58664.25,1540.0,770.0,1073,86094063.49000005,87.5984942385283,242,B
Smoked Chicken Roll 2.5kg unit,58263.0,312.0,780.0,230,86152326.49000005,87.65777534181149,243,B
Beef Biltong p/kg,57678.73,581.0,199.82,480,86210005.22000006,87.71646196540404,244,B
Eskort Chicken Sausage 350g,57666.33,1420.0,497.0,277,86267671.55000006,87.77513597231565,245,B
6 Pork Loin Chops in Creamy Pepper Marinade P/Kg,56778.6,400.0,616.53,299,86324450.15000005,87.83290673679525,246,B
Clover Slice o Nice 360g,56433.19,1004.0,361.44,646,86380883.34000005,87.89032605548788,247,B
Combo Deal 20,56387.42,456.0,0.0,141,86437270.76000005,87.94769880438328,248,B
MICRO GRINDERS 2 Pack,56239.21,2118.0,337.65000000000003,973,86493509.97000004,88.00492075341738,249,B
EDFP - Back Bacon 200g,56199.86,506.0,0.0,264,86549709.83000004,88.06210266483903,250,B
Footlong Russian Roll (braai),55938.4,1731.0,804.0,589,86605648.23000005,88.11901854743857,251,B
Dry Wors p/kg,55595.19,1193.0,246.04,825,86661243.42000005,88.17558522269452,252,B
Chief Chicken Crumbed Nuggets 1Kg,55177.23,635.0,635.0,213,86716420.65000005,88.23172663440538,253,B
Eskort Cheese Griller 12 x 500g,55175.15,116.0,696.0,52,86771595.80000006,88.28786592976977,254,B
Pork Meaty Bones MPK 10Kg,54011.22,201.0,2010.0,92,86825607.02000006,88.34282095630927,255,B
Clover IWS Cheese Gouda 360g,53676.33,962.0,346.32,617,86879283.35000005,88.39743524089111,256,B
RTE: Boneless Rib P/kg,53143.82,1713.0,471.1,761,86932427.17000005,88.45150771025044,257,B
American Hot Dog Chilli Cheese 380g,53045.62,1741.0,657.78,764,86985472.79000005,88.50548026363666,258,B
Bonaqua Pump Still 750ml,52744.43,3626.0,2719.5,1716,87038217.22000006,88.55914636394803,259,B
Pig Trotters Mixed P/Kg,52312.06,676.0,1978.7,270,87090529.28000006,88.61237253891014,260,B
Eskort Chicken Vienna 125g,51783.73,5315.0,668.58,1522,87142313.01000006,88.66506115169214,261,B
Clover Aquartz Still Water 1.5Litres,51248.79,3080.0,4620.0,1462,87193561.80000007,88.71720547678918,262,B
Beef Biltong Chilli Bites p/kg,51103.07,1243.0,139.06,828,87244664.87000006,88.76920153553584,263,B
Pork Trotters Mixed 2 x 10Kg,50771.62,112.0,2240.0,4,87295436.49000007,88.82086035243636,264,B
MCC Skinny Fries 1Kg,50602.159999999996,784.0,784.0,437,87346038.65000007,88.8723467481474,265,B
Pig Heads Without Cheeks Each,50167.85,598.0,2644.36,181,87396206.50000006,88.92339124460904,266,B
Eskort Crumbed Pork Strips 480g,50134.77,860.0,412.8,603,87446341.27000006,88.97440208302189,267,B
Footlong Russian 1Kg Combo Deal,49684.09,326.0,0.0,115,87496025.36000006,89.02495436613161,268,B
French Polony 250g,49329.43,4527.0,1131.75,1326,87545354.79000007,89.07514579181739,269,B
Kassler Chops BI p/kg,48864.03,546.0,490.48,422,87594218.82000007,89.12486368497878,270,B
Eskort Cooler Bag,48671.57,160.0,160.0,152,87642890.39000006,89.17438575504252,271,B
Gold Medal Pork Sausages 750g,48661.229999999996,652.0,489.0,433,87691551.62000006,89.22389730442235,272,B
RTE: Small Chips in Box 300g,48617.58,2371.0,1.7999999999999998,859,87740169.20000006,89.27336444105038,273,B
Sliced Double Smoked Ham 180g,48245.57,2323.0,416.52,873,87788414.77000006,89.3224530670759,274,B
Curry Brawn 2.5kg,47943.61,377.0,942.5,265,87836358.38000005,89.37123445657143,275,B
Eskort Deli Mini Frikkadels 6 x 1kg,46515.270000000004,86.0,516.0,26,87882873.65000005,89.41856254687085,276,B
Spud Master Frozen Potato Chips 10mm 1.5Kg,46341.43,857.0,1285.5,428,87929215.08000006,89.46571375944352,277,B
Eskort Honey Glazed Pork Rasher VSP p/kg,46331.31,1045.0,339.01,491,87975546.39000006,89.51285467517657,278,B
RTE: Assorted Pork Chops P/kg,45020.78,1167.0,311.7,556,88020567.17000006,89.55866216035704,279,B
